productid,productname,productprice,customerid,customername,quantity,totalprice,area
110,Photo Frames,589,918,Deep,18,820,Vadodra
144,Office Gifts,411,918,Abc,3,819,Ahmedabad
110,Lightning Gift,100,918,Naitik,5,1187,Surat
122,Lightning Gift,238,917,Naitik,2,885,Vadodra
115,Lippan Art,1299,918,Dhyey,100,500,Ahmedabad
116,Hoardings,319,919,Def,43,23760,Ahmedabad
144,Phone Cases,442,916,Vishwam,2,500,Vadodra
147,Phone Cases,393,916,Abc,2,1448,Ahmedabad
114,Lightning Gift,1299,914,Dhruv,2,500,Vadodra
137,Lippan Art,650,918,Zaki,2,500,Ahmedabad
148,Office Gifts,590,912,Deep,3,6990,Ahmedabad
163,Animal Toys,479,915,Zaki,6,9782,Nadiad
110,Office Gifts,504,913,Abc,100,18077,Ahmedabad
137,Lightning Gift,646,920,Jkl,2,500,Vadodra
141,Lippan Art,324,918,Naitik,8,500,Ahmedabad
113,Photo Frames,488,922,Hriday,2,955,Ahmedabad
124,Sipper,1299,915,Zaki,10,6701,Nadiad
115,Sipper,743,916,Zaki,93,23360,Ahmedabad
143,Hoardings,254,916,Dhyey,2,2312,Vadodra
152,Customized Bottle,607,919,Dhruv,2,8194,Matar
144,Phone Cases,539,922,Deep,2,861,Vadodra
110,Show Piece,711,913,Dhruv,2,1734,Ahmedabad
122,Photo Frames,194,916,Dhyey,6,3922,Surat
155,Lightning Gift,584,921,Jkl,7,500,Vadodra
123,Animal Toys,100,913,Dhruv,3,2043,Ahmedabad
144,Show Piece,458,918,Zaki,13,11954,Nadiad
157,Show Piece,471,919,Zaki,16,17240,Nadiad
147,Photo Frames,335,917,Ghi,2,1556,Ahmedabad
137,Lightning Gift,588,922,Jkl,2,500,Vadodra
133,Phone Cases,460,912,Dhruv,3,764,Vadodra
110,Lippan Art,1259,920,Dhyey,3,5944,Kheda
116,Office Gifts,272,911,Naitik,25,21816,Nadiad
119,Hoardings,164,913,Zaki,9,9416,Nadiad
162,Banner Printing,250,917,Vishwam,2,744,Surat
149,Customized Bottle,1299,913,Dhyey,2,1811,Nadiad
110,Lippan Art,442,913,Dhyey,2,1881,Ahmedabad
146,Office Gifts,663,918,Zaki,20,9893,Nadiad
163,Customized Bottle,401,915,Jkl,8,9362,Nadiad
126,Customized Bottle,400,918,Zaki,33,8273,Nadiad
119,Phone Cases,334,915,Naitik,4,746,Surat
110,Visiting Card,332,918,Abc,9,721,Ahmedabad
118,Sipper,347,913,Ghi,8,500,Surat
110,Phone Cases,519,918,Abc,2,7709,Nadiad
142,Customized Bottle,334,916,Def,9,8124,Vadodra
117,Office Gifts,320,911,Deep,100,2977,Kheda
113,Lippan Art,281,912,Abc,11,22887,Surat
116,Lippan Art,459,913,Dhyey,2,14645,Ahmedabad
142,Hoardings,112,915,Deep,2,577,Ahmedabad
113,Photo Frames,264,911,Deep,2,500,Surat
